"Time","Trump"," Kamala Harris"," Election"
"2026-09-11T13:36:00Z",100,1,11
"2026-09-11T13:52:00Z",93,1,10
"2026-09-11T14:08:00Z",98,1,11
"2026-09-11T14:24:00Z",91,1,10
"2026-09-11T14:40:00Z",82,1,10
"2026-09-11T14:56:00Z",76,1,10
"2026-09-11T15:12:00Z",73,1,10
"2026-09-11T15:28:00Z",75,1,9
"2026-09-11T15:44:00Z",74,0,9
"2026-09-11T16:00:00Z",75,1,10
"2026-09-11T16:16:00Z",74,1,10
"2026-09-11T16:32:00Z",75,0,9
"2026-09-11T16:48:00Z",79,0,10
"2026-09-11T17:04:00Z",77,0,9
"2026-09-11T17:20:00Z",76,1,10
"2026-09-11T17:36:00Z",76,0,10
"2026-09-11T17:52:00Z",73,1,9
"2026-09-11T18:08:00Z",73,1,10
"2026-09-11T18:24:00Z",72,1,9
"2026-09-11T18:40:00Z",70,1,9
"2026-09-11T18:56:00Z",73,1,8
"2026-09-11T19:12:00Z",77,0,9
"2026-09-11T19:28:00Z",73,1,9
"2026-09-11T19:44:00Z",75,1,9
"2026-09-11T20:00:00Z",74,0,9
"2026-09-11T20:16:00Z",74,1,8
"2026-09-11T20:32:00Z",74,1,8
"2026-09-11T20:48:00Z",77,1,8
"2026-09-11T21:04:00Z",79,1,8
"2026-09-11T21:20:00Z",73,1,8
"2026-09-11T21:36:00Z",78,1,9
"2026-09-11T21:52:00Z",79,0,9
"2026-09-11T22:08:00Z",79,1,8
"2026-09-11T22:24:00Z",81,1,8
"2026-09-11T22:40:00Z",87,1,8
"2026-09-11T22:56:00Z",80,1,8
"2026-09-11T23:12:00Z",82,1,8
"2026-09-11T23:28:00Z",81,1,8
"2026-09-11T23:44:00Z",75,1,7
"2026-09-12T00:00:00Z",80,1,8
"2026-09-12T00:16:00Z",79,0,7
"2026-09-12T00:32:00Z",79,1,7
"2026-09-12T00:48:00Z",77,0,7
"2026-09-12T01:04:00Z",83,1,6
"2026-09-12T01:20:00Z",77,1,8
"2026-09-12T01:36:00Z",78,1,7
"2026-09-12T01:52:00Z",75,0,7
"2026-09-12T02:08:00Z",82,1,7
"2026-09-12T02:24:00Z",74,1,7
"2026-09-12T02:40:00Z",71,1,7
"2026-09-12T02:56:00Z",67,1,7
"2026-09-12T03:12:00Z",73,1,8
"2026-09-12T03:28:00Z",72,1,7
"2026-09-12T03:44:00Z",70,1,7
"2026-09-12T04:00:00Z",65,1,7
"2026-09-12T04:16:00Z",67,1,6
"2026-09-12T04:32:00Z",74,1,7
"2026-09-12T04:48:00Z",66,1,8
"2026-09-12T05:04:00Z",68,1,7
"2026-09-12T05:20:00Z",65,1,7
"2026-09-12T05:36:00Z",67,1,7
"2026-09-12T05:52:00Z",65,1,8
"2026-09-12T06:08:00Z",60,1,8
"2026-09-12T06:24:00Z",63,1,8
"2026-09-12T06:40:00Z",64,1,7
"2026-09-12T06:56:00Z",62,1,7
"2026-09-12T07:12:00Z",52,0,8
"2026-09-12T07:28:00Z",59,1,8
"2026-09-12T07:44:00Z",62,1,8
"2026-09-12T08:00:00Z",62,0,9
"2026-09-12T08:16:00Z",66,1,7
"2026-09-12T08:32:00Z",69,1,8
"2026-09-12T08:48:00Z",72,0,8
"2026-09-12T09:04:00Z",71,0,10
"2026-09-12T09:20:00Z",74,0,7
"2026-09-12T09:36:00Z",80,0,9
"2026-09-12T09:52:00Z",84,0,9
"2026-09-12T10:08:00Z",89,1,5
"2026-09-12T10:24:00Z",85,0,9
"2026-09-12T10:40:00Z",88,0,7
"2026-09-12T10:56:00Z",99,0,7
"2026-09-12T11:12:00Z",98,1,9
"2026-09-12T11:28:00Z",94,0,8
"2026-09-12T11:44:00Z",91,1,8
"2026-09-12T12:00:00Z",92,1,8
"2026-09-12T12:16:00Z",86,1,8
"2026-09-12T12:32:00Z",84,1,8
"2026-09-12T12:48:00Z",76,1,7
"2026-09-12T13:04:00Z",80,1,8
"2026-09-12T13:20:00Z",82,0,7
"2026-09-12T13:36:00Z",81,0,8
