GEOID,NAME,median_ageE,median_ageM,edu_totalE,edu_totalM,bachelorsE,bachelorsM,mastersE,mastersM,professionalE,professionalM,doctorateE,doctorateM,bachelors_plus,bachelors_plus_moe,bachelors_plus_rate,bachelors_plus_rate_moe
48385,"Real County, Texas",59.5,5.4,2031,194,358,175,61,60,10,17,0,15,429,186.38401218988716,0.21122599704579026,0.08952416828459286
48255,"Karnes County, Texas",38.1,1.6,10685,239,993,221,484,159,27,29,24,26,1528,275.025453367502,0.14300421151146467,0.025539869236859195
48505,"Zapata County, Texas",32.3,0.6,8090,185,818,227,310,123,38,50,62,48,1228,267.3237737276653,0.15179233621755253,0.03286090705011597
48357,"Ochiltree County, Texas",33.3,0.6,5938,133,866,215,287,128,13,18,63,51,1229,255.99609372019722,0.20697204445941395,0.04286153335997456
48097,"Cooke County, Texas",40.5,0.5,29120,206,4539,553,1849,306,139,76,361,185,6888,662.9072333290685,0.23653846153846153,0.022703089775557628
48115,"Dawson County, Texas",34.8,0.7,7818,194,765,127,137,60,54,50,39,27,995,151.51897570931504,0.12727040163724737,0.019121738295707017
48381,"Randall County, Texas",36.7,0.3,96955,192,21257,1189,8195,708,1773,328,1433,306,32658,1454.7181857665767,0.33683667680882884,0.014989220707370412
48207,"Haskell County, Texas",43.1,2.1,3876,123,460,110,399,129,14,12,11,13,884,170.45233937966356,0.22807017543859648,0.043376696534606636
48281,"Lampasas County, Texas",43.8,0.7,16111,125,2762,311,788,171,150,83,210,98,3910,377.43211310115095,0.2426913289057166,0.023351187419246206
48271,"Kinney County, Texas",50.3,4.8,2556,228,260,131,42,47,0,15,0,15,302,139.98214171814917,0.11815336463223787,0.05374238721099162
48359,"Oldham County, Texas",31.4,2.6,1270,145,207,64,45,32,12,9,8,7,272,72.4568837309472,0.2141732283464567,0.05154672337218084
48113,"Dallas County, Texas",34.1,0.2,1709388,90,376976,4903,167715,4075,43347,1752,22825,1482,610863,6775.75545603588,0.3573577210089225,0.003963804077326854
48083,"Coleman County, Texas",48.7,0.7,5694,174,753,194,155,64,25,21,25,36,958,208.4922060893404,0.16824727783631893,0.03625336786961192
48367,"Parker County, Texas",39.1,0.4,112004,138,24426,1301,9467,778,1698,430,625,166,36216,1584.4055667662872,0.3233455948001857,0.014140361957309888
48299,"Llano County, Texas",57.4,0.5,17742,115,3970,414,1016,191,587,157,168,90,5741,490.53644105203847,0.32358245970014654,0.027568648308813178
48047,"Brooks County, Texas",38.5,2.6,4964,330,649,320,175,96,13,23,5,8,842,334.97611855175586,0.16962127316680098,0.06653228280886235
48397,"Rockwall County, Texas",37.5,0.3,80968,289,23430,1235,9217,951,1992,464,1384,553,36023,1717.7691928777858,0.444904159668017,0.021155892981654077
48059,"Callahan County, Texas",44.1,0.7,10018,111,1753,284,614,198,20,28,17,14,2404,347.6204827106711,0.2399680574965063,0.03459757135592291
48145,"Falls County, Texas",40.6,0.7,12103,212,1644,273,397,108,160,118,159,88,2360,328.42198464780034,0.19499297694786416,0.02691976833081031
48231,"Hunt County, Texas",36.8,0.4,71523,123,10796,857,4174,532,684,246,524,176,16178,1053.0740714688593,0.22619297288983964,0.014718433071108783
