date,hits,keyword,geo,time,gprop,category
2023-04-23T00:00:00Z,1,Trump,US,today+5-y,web,0
2023-04-30T00:00:00Z,1,Trump,US,today+5-y,web,0
2023-05-07T00:00:00Z,2,Trump,US,today+5-y,web,0
2023-05-14T00:00:00Z,1,Trump,US,today+5-y,web,0
2023-05-21T00:00:00Z,1,Trump,US,today+5-y,web,0
2023-05-28T00:00:00Z,1,Trump,US,today+5-y,web,0
2023-06-04T00:00:00Z,2,Trump,US,today+5-y,web,0
2023-06-11T00:00:00Z,3,Trump,US,today+5-y,web,0
2023-06-18T00:00:00Z,1,Trump,US,today+5-y,web,0
2023-06-25T00:00:00Z,1,Trump,US,today+5-y,web,0
2023-07-02T00:00:00Z,1,Trump,US,today+5-y,web,0
2023-07-09T00:00:00Z,1,Trump,US,today+5-y,web,0
2023-07-16T00:00:00Z,1,Trump,US,today+5-y,web,0
2023-07-23T00:00:00Z,1,Trump,US,today+5-y,web,0
2023-07-30T00:00:00Z,2,Trump,US,today+5-y,web,0
2023-08-06T00:00:00Z,1,Trump,US,today+5-y,web,0
2023-08-13T00:00:00Z,2,Trump,US,today+5-y,web,0
2023-08-20T00:00:00Z,5,Trump,US,today+5-y,web,0
2023-08-27T00:00:00Z,2,Trump,US,today+5-y,web,0
2023-09-03T00:00:00Z,1,Trump,US,today+5-y,web,0
2023-09-10T00:00:00Z,1,Trump,US,today+5-y,web,0
2023-09-17T00:00:00Z,1,Trump,US,today+5-y,web,0
2023-09-24T00:00:00Z,1,Trump,US,today+5-y,web,0
2023-10-01T00:00:00Z,2,Trump,US,today+5-y,web,0
2023-10-08T00:00:00Z,1,Trump,US,today+5-y,web,0
2023-10-15T00:00:00Z,1,Trump,US,today+5-y,web,0
2023-10-22T00:00:00Z,1,Trump,US,today+5-y,web,0
2023-10-29T00:00:00Z,1,Trump,US,today+5-y,web,0
2023-11-05T00:00:00Z,2,Trump,US,today+5-y,web,0
2023-11-12T00:00:00Z,1,Trump,US,today+5-y,web,0
2023-11-19T00:00:00Z,1,Trump,US,today+5-y,web,0
2023-11-26T00:00:00Z,1,Trump,US,today+5-y,web,0
2023-12-03T00:00:00Z,1,Trump,US,today+5-y,web,0
2023-12-10T00:00:00Z,1,Trump,US,today+5-y,web,0
2023-12-17T00:00:00Z,2,Trump,US,today+5-y,web,0
2023-12-24T00:00:00Z,1,Trump,US,today+5-y,web,0
2023-12-31T00:00:00Z,1,Trump,US,today+5-y,web,0
2024-01-07T00:00:00Z,2,Trump,US,today+5-y,web,0
2024-01-14T00:00:00Z,2,Trump,US,today+5-y,web,0
2024-01-21T00:00:00Z,2,Trump,US,today+5-y,web,0
2024-01-28T00:00:00Z,2,Trump,US,today+5-y,web,0
2024-02-04T00:00:00Z,2,Trump,US,today+5-y,web,0
2024-02-11T00:00:00Z,2,Trump,US,today+5-y,web,0
2024-02-18T00:00:00Z,3,Trump,US,today+5-y,web,0
2024-02-25T00:00:00Z,2,Trump,US,today+5-y,web,0
2024-03-03T00:00:00Z,3,Trump,US,today+5-y,web,0
2024-03-10T00:00:00Z,2,Trump,US,today+5-y,web,0
2024-03-17T00:00:00Z,2,Trump,US,today+5-y,web,0
2024-03-24T00:00:00Z,2,Trump,US,today+5-y,web,0
2024-03-31T00:00:00Z,2,Trump,US,today+5-y,web,0
2024-04-07T00:00:00Z,2,Trump,US,today+5-y,web,0
2024-04-14T00:00:00Z,2,Trump,US,today+5-y,web,0
2024-04-21T00:00:00Z,2,Trump,US,today+5-y,web,0
2024-04-28T00:00:00Z,2,Trump,US,today+5-y,web,0
2024-05-05T00:00:00Z,2,Trump,US,today+5-y,web,0
2024-05-12T00:00:00Z,2,Trump,US,today+5-y,web,0
2024-05-19T00:00:00Z,2,Trump,US,today+5-y,web,0
2024-05-26T00:00:00Z,8,Trump,US,today+5-y,web,0
2024-06-02T00:00:00Z,3,Trump,US,today+5-y,web,0
2024-06-09T00:00:00Z,2,Trump,US,today+5-y,web,0
2024-06-16T00:00:00Z,2,Trump,US,today+5-y,web,0
2024-06-23T00:00:00Z,4,Trump,US,today+5-y,web,0
2024-06-30T00:00:00Z,3,Trump,US,today+5-y,web,0
2024-07-07T00:00:00Z,9,Trump,US,today+5-y,web,0
2024-07-14T00:00:00Z,25,Trump,US,today+5-y,web,0
2024-07-21T00:00:00Z,7,Trump,US,today+5-y,web,0
2024-07-28T00:00:00Z,6,Trump,US,today+5-y,web,0
2024-08-04T00:00:00Z,4,Trump,US,today+5-y,web,0
2024-08-11T00:00:00Z,4,Trump,US,today+5-y,web,0
2024-08-18T00:00:00Z,5,Trump,US,today+5-y,web,0
2024-08-25T00:00:00Z,4,Trump,US,today+5-y,web,0
2024-09-01T00:00:00Z,3,Trump,US,today+5-y,web,0
2024-09-08T00:00:00Z,6,Trump,US,today+5-y,web,0
2024-09-15T00:00:00Z,7,Trump,US,today+5-y,web,0
2024-09-22T00:00:00Z,3,Trump,US,today+5-y,web,0
2024-09-29T00:00:00Z,3,Trump,US,today+5-y,web,0
2024-10-06T00:00:00Z,3,Trump,US,today+5-y,web,0
2024-10-13T00:00:00Z,4,Trump,US,today+5-y,web,0
2024-10-20T00:00:00Z,6,Trump,US,today+5-y,web,0
2024-10-27T00:00:00Z,7,Trump,US,today+5-y,web,0
2024-11-03T00:00:00Z,25,Trump,US,today+5-y,web,0
2024-11-10T00:00:00Z,8,Trump,US,today+5-y,web,0
2024-11-17T00:00:00Z,4,Trump,US,today+5-y,web,0
2024-11-24T00:00:00Z,3,Trump,US,today+5-y,web,0
2024-12-01T00:00:00Z,2,Trump,US,today+5-y,web,0
2024-12-08T00:00:00Z,2,Trump,US,today+5-y,web,0
2024-12-15T00:00:00Z,2,Trump,US,today+5-y,web,0
2024-12-22T00:00:00Z,2,Trump,US,today+5-y,web,0
2024-12-29T00:00:00Z,3,Trump,US,today+5-y,web,0
2025-01-05T00:00:00Z,4,Trump,US,today+5-y,web,0
2025-01-12T00:00:00Z,4,Trump,US,today+5-y,web,0
2025-01-19T00:00:00Z,18,Trump,US,today+5-y,web,0
2025-01-26T00:00:00Z,9,Trump,US,today+5-y,web,0
2025-02-02T00:00:00Z,7,Trump,US,today+5-y,web,0
2025-02-09T00:00:00Z,6,Trump,US,today+5-y,web,0
2025-02-16T00:00:00Z,6,Trump,US,today+5-y,web,0
2025-02-23T00:00:00Z,6,Trump,US,today+5-y,web,0
2025-03-02T00:00:00Z,7,Trump,US,today+5-y,web,0
2025-03-09T00:00:00Z,5,Trump,US,today+5-y,web,0
2025-03-16T00:00:00Z,4,Trump,US,today+5-y,web,0
2025-03-23T00:00:00Z,4,Trump,US,today+5-y,web,0
2025-03-30T00:00:00Z,5,Trump,US,today+5-y,web,0
2025-04-06T00:00:00Z,5,Trump,US,today+5-y,web,0
2025-04-13T00:00:00Z,4,Trump,US,today+5-y,web,0
2025-04-20T00:00:00Z,4,Trump,US,today+5-y,web,0
2025-04-27T00:00:00Z,4,Trump,US,today+5-y,web,0
2025-05-04T00:00:00Z,4,Trump,US,today+5-y,web,0
2025-05-11T00:00:00Z,4,Trump,US,today+5-y,web,0
2025-05-18T00:00:00Z,3,Trump,US,today+5-y,web,0
2025-05-25T00:00:00Z,4,Trump,US,today+5-y,web,0
2025-06-01T00:00:00Z,4,Trump,US,today+5-y,web,0
2025-06-08T00:00:00Z,5,Trump,US,today+5-y,web,0
2025-06-15T00:00:00Z,5,Trump,US,today+5-y,web,0
2025-06-22T00:00:00Z,5,Trump,US,today+5-y,web,0
2025-06-29T00:00:00Z,4,Trump,US,today+5-y,web,0
2025-07-06T00:00:00Z,3,Trump,US,today+5-y,web,0
2025-07-13T00:00:00Z,5,Trump,US,today+5-y,web,0
2025-07-20T00:00:00Z,5,Trump,US,today+5-y,web,0
2025-07-27T00:00:00Z,4,Trump,US,today+5-y,web,0
2025-08-03T00:00:00Z,3,Trump,US,today+5-y,web,0
2025-08-10T00:00:00Z,4,Trump,US,today+5-y,web,0
2025-08-17T00:00:00Z,3,Trump,US,today+5-y,web,0
2025-08-24T00:00:00Z,4,Trump,US,today+5-y,web,0
2025-08-31T00:00:00Z,5,Trump,US,today+5-y,web,0
2025-09-07T00:00:00Z,4,Trump,US,today+5-y,web,0
2025-09-14T00:00:00Z,3,Trump,US,today+5-y,web,0
2025-09-21T00:00:00Z,4,Trump,US,today+5-y,web,0
2025-09-28T00:00:00Z,4,Trump,US,today+5-y,web,0
2025-10-05T00:00:00Z,3,Trump,US,today+5-y,web,0
2025-10-12T00:00:00Z,3,Trump,US,today+5-y,web,0
2025-10-19T00:00:00Z,4,Trump,US,today+5-y,web,0
2025-10-26T00:00:00Z,3,Trump,US,today+5-y,web,0
2025-11-02T00:00:00Z,3,Trump,US,today+5-y,web,0
2025-11-09T00:00:00Z,5,Trump,US,today+5-y,web,0
2025-11-16T00:00:00Z,5,Trump,US,today+5-y,web,0
2025-11-23T00:00:00Z,3,Trump,US,today+5-y,web,0
2025-11-30T00:00:00Z,3,Trump,US,today+5-y,web,0
2025-12-07T00:00:00Z,3,Trump,US,today+5-y,web,0
2025-12-14T00:00:00Z,5,Trump,US,today+5-y,web,0
2025-12-21T00:00:00Z,3,Trump,US,today+5-y,web,0
2025-12-28T00:00:00Z,3,Trump,US,today+5-y,web,0
2026-01-04T00:00:00Z,4,Trump,US,today+5-y,web,0
2026-01-11T00:00:00Z,4,Trump,US,today+5-y,web,0
2026-01-18T00:00:00Z,5,Trump,US,today+5-y,web,0
2026-01-25T00:00:00Z,4,Trump,US,today+5-y,web,0
2026-02-01T00:00:00Z,5,Trump,US,today+5-y,web,0
2026-02-08T00:00:00Z,4,Trump,US,today+5-y,web,0
2026-02-15T00:00:00Z,3,Trump,US,today+5-y,web,0
2026-02-22T00:00:00Z,5,Trump,US,today+5-y,web,0
2026-03-01T00:00:00Z,4,Trump,US,today+5-y,web,0
2026-03-08T00:00:00Z,4,Trump,US,today+5-y,web,0
2026-03-15T00:00:00Z,3,Trump,US,today+5-y,web,0
2026-03-22T00:00:00Z,3,Trump,US,today+5-y,web,0
2026-03-29T00:00:00Z,4,Trump,US,today+5-y,web,0
2026-04-05T00:00:00Z,6,Trump,US,today+5-y,web,0
2026-04-12T00:00:00Z,5,Trump,US,today+5-y,web,0
2026-04-19T00:00:00Z,3,Trump,US,today+5-y,web,0
2026-04-26T00:00:00Z,5,Trump,US,today+5-y,web,0
2026-05-03T00:00:00Z,3,Trump,US,today+5-y,web,0
2026-05-10T00:00:00Z,3,Trump,US,today+5-y,web,0
2026-05-17T00:00:00Z,4,Trump,US,today+5-y,web,0
2026-05-24T00:00:00Z,3,Trump,US,today+5-y,web,0
2026-05-31T00:00:00Z,3,Trump,US,today+5-y,web,0
2026-06-07T00:00:00Z,4,Trump,US,today+5-y,web,0
2026-06-14T00:00:00Z,4,Trump,US,today+5-y,web,0
2026-06-21T00:00:00Z,3,Trump,US,today+5-y,web,0
2026-06-28T00:00:00Z,3,Trump,US,today+5-y,web,0
2026-07-05T00:00:00Z,4,Trump,US,today+5-y,web,0
2026-07-12T00:00:00Z,4,Trump,US,today+5-y,web,0
2026-07-19T00:00:00Z,3,Trump,US,today+5-y,web,0
2026-07-26T00:00:00Z,3,Trump,US,today+5-y,web,0
2026-08-02T00:00:00Z,3,Trump,US,today+5-y,web,0
2026-08-09T00:00:00Z,3,Trump,US,today+5-y,web,0
2026-08-16T00:00:00Z,3,Trump,US,today+5-y,web,0
2026-08-23T00:00:00Z,3,Trump,US,today+5-y,web,0
2026-08-30T00:00:00Z,3,Trump,US,today+5-y,web,0
2026-09-06T00:00:00Z,3,Trump,US,today+5-y,web,0
2026-09-13T00:00:00Z,3,Trump,US,today+5-y,web,0
2021-09-12T00:00:00Z,1,Harris,US,today+5-y,web,0
2021-09-19T00:00:00Z,1,Harris,US,today+5-y,web,0
2021-09-26T00:00:00Z,1,Harris,US,today+5-y,web,0
2021-10-03T00:00:00Z,1,Harris,US,today+5-y,web,0
2021-10-10T00:00:00Z,1,Harris,US,today+5-y,web,0
2021-10-17T00:00:00Z,1,Harris,US,today+5-y,web,0
2021-10-24T00:00:00Z,1,Harris,US,today+5-y,web,0
2021-10-31T00:00:00Z,1,Harris,US,today+5-y,web,0
2021-11-07T00:00:00Z,1,Harris,US,today+5-y,web,0
2021-11-14T00:00:00Z,1,Harris,US,today+5-y,web,0
2021-11-21T00:00:00Z,1,Harris,US,today+5-y,web,0
2021-11-28T00:00:00Z,1,Harris,US,today+5-y,web,0
2021-12-05T00:00:00Z,1,Harris,US,today+5-y,web,0
2021-12-12T00:00:00Z,1,Harris,US,today+5-y,web,0
2021-12-19T00:00:00Z,1,Harris,US,today+5-y,web,0
2021-12-26T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-01-02T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-01-09T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-01-16T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-01-23T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-01-30T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-02-06T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-02-13T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-02-20T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-02-27T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-03-06T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-03-13T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-03-20T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-03-27T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-04-03T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-04-10T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-04-17T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-04-24T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-05-01T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-05-08T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-05-15T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-05-22T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-05-29T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-06-05T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-06-12T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-06-19T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-06-26T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-07-03T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-07-10T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-07-17T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-07-24T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-07-31T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-08-07T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-08-14T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-08-21T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-08-28T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-09-04T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-09-11T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-09-18T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-09-25T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-10-02T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-10-09T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-10-16T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-10-23T00:00:00Z,1,Harris,US,today+5-y,web,0
2022-10-30T00:00:00Z,1,Harris,US,today+5-y,web,0
